"","X","faceRectangle.top","faceRectangle.left","faceRectangle.width","faceRectangle.height","faceAttributes.glasses","faceAttributes.blur.blurLevel","faceAttributes.blur.value","faceAttributes.headPose.roll","faceAttributes.headPose.yaw","faceAttributes.emotion.contempt","faceAttributes.emotion.surprise","faceAttributes.emotion.happiness","faceAttributes.emotion.neutral","faceAttributes.emotion.sadness","faceAttributes.emotion.disgust","faceAttributes.emotion.anger","faceAttributes.emotion.fear","faceAttributes.occlusion.eyeOccluded","faceAttributes.occlusion.mouthOccluded","faceAttributes.occlusion.foreheadOccluded","faceAttributes.noise.noiseLevel","faceAttributes.noise.value","faceLandmarks.pupilLeft.x","faceLandmarks.pupilLeft.y","faceLandmarks.eyebrowLeftInner.x","faceLandmarks.eyebrowLeftInner.y","faceLandmarks.eyeLeftOuter.x","faceLandmarks.eyeLeftOuter.y","faceLandmarks.eyeLeftBottom.x","faceLandmarks.eyeLeftBottom.y","faceLandmarks.eyeRightOuter.x","faceLandmarks.eyeRightOuter.y","faceLandmarks.mouthRight.x","faceLandmarks.mouthRight.y","faceLandmarks.eyebrowRightOuter.x","faceLandmarks.eyebrowRightOuter.y","faceLandmarks.noseTip.x","faceLandmarks.noseTip.y","faceLandmarks.pupilRight.x","faceLandmarks.pupilRight.y","faceLandmarks.noseRootRight.x","faceLandmarks.noseRootRight.y","faceLandmarks.noseRightAlarTop.x","faceLandmarks.noseRightAlarTop.y","faceLandmarks.eyeRightTop.x","faceLandmarks.eyeRightTop.y","faceLandmarks.eyeRightBottom.x","faceLandmarks.eyeRightBottom.y","faceLandmarks.noseRootLeft.x","faceLandmarks.noseRootLeft.y","faceLandmarks.mouthLeft.x","faceLandmarks.mouthLeft.y","faceLandmarks.underLipTop.x","faceLandmarks.underLipTop.y","faceLandmarks.eyebrowRightInner.x","faceLandmarks.eyebrowRightInner.y","faceLandmarks.noseLeftAlarTop.x","faceLandmarks.noseLeftAlarTop.y","faceLandmarks.upperLipTop.x","faceLandmarks.upperLipTop.y","faceLandmarks.eyeLeftInner.x","faceLandmarks.eyeLeftInner.y","faceLandmarks.upperLipBottom.x","faceLandmarks.upperLipBottom.y","faceLandmarks.eyeRightInner.x","faceLandmarks.eyeRightInner.y","faceLandmarks.underLipBottom.x","faceLandmarks.underLipBottom.y","faceLandmarks.noseLeftAlarOutTip.x","faceLandmarks.noseLeftAlarOutTip.y","faceLandmarks.eyebrowLeftOuter.x","faceLandmarks.eyebrowLeftOuter.y","faceLandmarks.eyeLeftTop.x","faceLandmarks.eyeLeftTop.y","faceLandmarks.noseRightAlarOutTip.x","faceLandmarks.noseRightAlarOutTip.y","black","blond","brown","gray","other","red","impression","glasses","blurLevel","eyeOccluded","mouthOccluded","foreheadOccluded","noiseLevel"
"435",435,226,594,323,323,"NoGlasses","low",0.01,4,3.6,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0,688.1,311.5,726.3,297,664.9,313.6,685.7,320.3,858.1,326.8,817.9,465,881.5,307.7,759.8,403.7,836.8,322.6,779.2,328.4,786.9,375.4,837.5,316.4,836.8,331.5,744.6,325.9,674.7,451.5,749.2,491.5,802.9,303.9,730.7,372.4,758.9,446.7,706.7,316.7,757.2,454.2,813.7,324.7,746.5,503.9,713.8,395.8,641,294.8,686.8,306.2,801.6,404.3,0.07,1,0.12,0.27,0.39,0.08,1,0,1,0,0,0,1
"609",609,98,181,86,86,"NoGlasses","low",0,3.2,-0.3,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"low",0,207.6,120.6,217.1,110.1,200.4,120.8,206.4,122.8,249.1,122.9,241.2,161.5,257.9,113.5,224.1,142.6,243.4,122.4,230.1,123.6,232.7,136.7,243,119.9,243,124.6,218.4,122.8,202.6,160,221.3,167.6,231.9,111.8,215.1,136.1,222.5,155.5,212,122.2,222.2,159.5,236.8,123.3,221.2,174,209.9,143.6,190.9,109.5,207.2,117.9,237.2,144.9,1,0.09,0.65,0.06,0.61,0.05,1,0,1,0,0,0,1
"936",936,135,385,136,136,"NoGlasses","low",0,1,-13.3,0,0,0.96,0,0,0.002,0.039,0,FALSE,FALSE,FALSE,"low",0,422.9,171.6,432.9,160.1,410.9,171.9,419.1,175.5,498.1,175.1,485.5,234.6,513.2,159.5,445.5,212.9,485.3,174.1,461.2,177.7,465.1,201.6,485.4,171.5,486.7,178.9,442.5,177.5,426,232,451.6,245.5,467,160.7,435.1,200.6,451.6,229.8,430.5,175.6,451.6,235.3,475.9,176.5,451.7,253.9,428.5,212.3,390.1,155.8,421.1,169.3,470.9,212.4,0.97,0.02,1,0.03,0.5,0.05,0,0,1,0,0,0,1
"1483",1483,114,290,163,163,"NoGlasses","low",0.19,4.6,8.2,0.043,0.029,0.183,0.392,0.096,0.043,0.2,0.013,FALSE,FALSE,TRUE,"medium",0.44,342.3,152.9,365.6,136.3,326.2,151.8,338.2,157.9,421.9,159.7,389.9,240.3,433.6,139.4,376.3,200.4,411,158.4,385.2,159.5,388.6,190.4,409.8,154.4,409,163.1,362.8,157.6,338.9,234.9,367.7,237,390.3,141.4,357.7,188.5,370.2,227.1,352.1,155,369.4,235.9,396,159.1,366.9,248.7,349,200.4,310.4,132.1,339.9,149.1,393.6,205.5,0,0,0,0,0,0,0,0,1,0,0,1,2
"329",329,107,202,99,99,"NoGlasses","low",0,-16,-4.8,0,0.002,0.47,0.438,0.067,0.003,0.01,0.01,FALSE,FALSE,FALSE,"low",0,225.6,142.1,235.4,130.1,217.9,144.7,226.2,145,274.9,127.1,279.8,170.4,282.2,111.9,252.4,162.7,268,128.3,252.7,136.6,259.8,151.7,266.4,126.5,268.6,131.4,241.4,140.1,235,183.6,259.3,185.4,250.8,125.7,240.7,156.8,254,173.2,233.8,141.4,256,177.8,260.6,132.4,261.8,191.5,239.3,165.8,205.8,136.8,225,139.5,266.6,158.1,0.2,1,0.03,0.11,0.93,0.17,1,0,1,0,0,0,1
"1465",1465,197,96,244,244,"NoGlasses","medium",0.58,-6.2,-7.1,0.014,0,0.001,0.947,0.035,0.001,0.003,0,FALSE,FALSE,FALSE,"low",0,165.7,263,185.2,239,146.6,267.3,163.7,271.6,274.3,248.3,267.6,374.8,289.5,218.9,212.6,335.4,262.1,249.7,224.2,262.6,235.7,308.3,258.6,243.8,261.4,258.8,196.9,266.7,185,383.3,219.2,381.6,228.4,227.1,192.4,312.9,216.5,369.1,179.1,266.6,217.8,381.8,245.2,256.4,223.2,397.8,183.2,338.2,124,244.2,162.7,257.8,250.3,328.7,0.96,0.11,1,0.02,0.36,0.09,0,0,2,0,0,0,1
"1539",1539,118,137,98,98,"ReadingGlasses","low",0.03,-6.9,-6.7,0.001,0.023,0.096,0.816,0.043,0.002,0.01,0.008,FALSE,FALSE,FALSE,"low",0.2,164.1,144.5,171,133.9,157.2,145.9,163.4,148.6,209.4,140.9,206.9,189,220.8,127.9,184,170.5,203.3,140.7,188.7,145.4,193.7,160.1,203,138.5,204,144.4,177.5,147,174.2,194.9,189.8,193.5,190.6,132.9,175.9,162.7,188.3,189,169.6,145.9,189.6,192.7,197.3,143.3,191.1,199.5,173.1,174,143.7,136,163,141.7,198.4,170.7,0.74,0.04,1,0.16,0.21,0.11,0,1,1,0,0,0,1
"1076",1076,58,119,61,61,"NoGlasses","low",0,18.3,-16.1,0.001,0.001,0.227,0.617,0.153,0,0.001,0.002,FALSE,FALSE,FALSE,"medium",0.52,142.2,71.9,145.8,69.2,137,71,140.3,73.8,171.2,80.3,155.6,107.4,179.1,74.7,146.5,90.1,167.8,78.9,155.5,77.7,154.3,87.6,167.3,77,166.5,81.4,148.4,75.1,135.4,100.2,142.9,106.8,158.6,72.9,144.5,83.3,144.3,99.8,144.5,73.5,143.8,101.9,161.7,78.4,142,110.6,140.5,87.6,135,61,141.6,70.2,155.1,93.2,0.98,0.02,1,0.05,0.23,0.07,0,0,1,0,0,0,2
"1024",1024,208,77,224,224,"NoGlasses","medium",0.38,-14.7,-25.6,0.018,0.001,0.418,0.563,0,0,0,0,FALSE,FALSE,FALSE,"medium",0.39,136.4,276.5,137.7,248.5,118.6,282.4,131.7,286.5,230.6,253.8,250.4,361.1,241.8,220.8,177.5,336.1,220.9,256,184.8,272.1,201.7,308.3,213.8,250.7,218.1,265.8,160.6,277.9,165.1,383.4,200.1,380.4,175.4,236.6,158.5,319.9,194.1,369.9,144.1,278.8,197.8,378.3,201.8,265.8,204.5,393.7,156.7,343.8,94.5,257.6,130.5,271.3,218.6,326.4,0.89,0.07,1,0.03,0.11,0.16,0,0,2,0,0,0,2
"101",101,70,76,136,136,"NoGlasses","low",0.01,4.2,-13.9,0,0,0.514,0.458,0.025,0,0.002,0,FALSE,FALSE,FALSE,"low",0,118.4,104.4,131.3,90.6,109.6,105.3,117.8,108.5,183.5,110.7,172.4,173.5,197.7,98.5,139.8,143,174.6,109.1,151.8,109.9,154.5,134.3,176.1,105.8,175.7,113.5,138.1,108.9,116.3,168.9,140.5,173.8,154.6,94.1,129.1,132.9,140.8,165.1,126.6,106.3,140.3,170.7,166.5,110.2,139.5,181,121,144.5,96.2,90.3,119.3,100.7,163,146,1,0.03,0.61,0.1,0.26,0.08,1,0,1,0,0,0,1
